NOME	GRUPO	PDV	DISPONIVEL
Sundae Chocolate Cobertura Caramelo Complemento Brigadeiro	Sundae	15.00	S
Sundae Chocolate Cobertura Caramelo Complemento Disqueti	Sundae	15.00	S
Sundae Chocolate Cobertura Chocolate	Sundae	12.50	S
Sundae Chocolate Cobertura Chocolate - Promo	Sundae	0.00	N
Sundae Chocolate Cobertura Chocolate Complemento Brigadeiro	Sundae	15.00	S
Sundae Chocolate Cobertura Chocolate Complemento Disqueti	Sundae	15.00	S
Sundae Chocolate Cobertura Morango	Sundae	12.50	S
Sundae Chocolate Cobertura Morango - Promo	Sundae	0.00	N
Sundae Chocolate Cobertura Morango Complemento Brigadeiro	Sundae	15.00	S
Sundae Chocolate Cobertura Morango Complemento Disqueti	Sundae	15.00	S
Sundae Misto Cobertura Caramelo	Sundae	12.50	S
Sundae Misto Cobertura Caramelo - Promo	Sundae	0.00	N
Sundae Misto Cobertura Caramelo Complemento Brigadeiro	Sundae	15.00	S
Sundae Misto Cobertura Caramelo Complemento Disqueti	Sundae	15.00	S
Sundae Misto Cobertura Chocolate	Sundae	12.50	S
Sundae Misto Cobertura Chocolate - Promo	Sundae	0.00	N
Sundae Misto Cobertura Chocolate Complemento Brigadeiro	Sundae	15.00	S
Sundae Misto Cobertura Chocolate Complemento Disqueti	Sundae	15.00	S
Sundae Misto Cobertura Morango	Sundae	12.50	S
Sundae Misto Cobertura Morango - Promo	Sundae	0.00	N
Sundae Misto Cobertura Morango Complemento Brigadeiro	Sundae	15.00	S
Sundae Misto Cobertura Morango Complemento Disqueti	Sundae	15.00	S
Sundae Ovomaltine Baunilha	Sundae	12.50	S
Sundae Ovomaltine Baunilha Cobertura Caramelo	Sundae	12.50	S
Sundae Ovomaltine Baunilha Cobertura Chocolate	Sundae	12.50	S
Sundae Ovomaltine Baunilha Cobertura Morango	Sundae	12.50	S
Sundae Ovomaltine Chocolate Cobertura Caramelo	Sundae	12.50	S
Sundae Ovomaltine Chocolate Cobertura Chocolate	Sundae	12.50	S
Sundae Ovomaltine Chocolate Cobertura Morango	Sundae	12.50	S
Sundae Ovomaltine Misto Cobertura Caramelo	Sundae	12.50	S
Sundae Ovomaltine Misto Cobertura Chocolate	Sundae	12.50	S
Sundae Ovomaltine Misto Cobertura Morango	Sundae	12.50	S
Suporte para Copos Produto Final	EMBALAGEM	0.00	N
Suporte para Potes Produto Final	EMBALAGEM	0.00	N
Suporte para Viagem Duplo Produto Final	EMBALAGEM	0.00	N
Suporte para Viagem Único Produto Final	EMBALAGEM	0.00	N
Top Fondue - Fruta Banana - Baunilha - 2026	Inverno	40.00	S
Top Fondue - Fruta Banana - Chocolate - 2026	Inverno	40.00	S
Top Fondue - Fruta Banana - Misto - 2026	Inverno	40.00	S
Top Fondue - Fruta Morango - Baunilha - 2026	Inverno	45.00	S
Top Fondue - Fruta Morango - Chocolate - 2026	Inverno	45.00	S
Top Fondue - Fruta Morango - Misto - 2026	Inverno	45.00	S
Top Fondue - Fruta Uva - Baunilha - 2026	Inverno	40.00	S
Top Fondue - Fruta Uva - Chocolate - 2026	Inverno	40.00	S
Top Fondue - Fruta Uva - Misto - 2026	Inverno	40.00	S
Top Fruit Frutas Vermelhas	Cream Tasty	20.00	S
Top Fruit Maracuja	Cream Tasty	20.00	S
Top Fruit Morango	Cream Tasty	20.00	S
Top Mix com KitKat® Baunilha	Top Mix	25.00	S
Top Mix com KitKat® Chocolate	Top Mix	25.00	S
Top Mix com KitKat® Misto	Top Mix	25.00	S
Top Mix com Suflair® Baunilha	Top Mix	25.00	S
Top Mix com Suflair® Chocolate	Top Mix	25.00	S
Top Mix com Suflair® Duo Baunilha	Top Mix	25.00	S
Top Mix com Suflair® Duo Chocolate	Top Mix	25.00	S
Top Mix com Suflair® Duo Misto	Top Mix	25.00	S
Top Mix com Suflair® Misto	Top Mix	25.00	S
Top Mix Monte o Seu Baunilha	Top Mix	24.97	S
Top Mix Monte o Seu Chocolate	Top Mix	24.97	S
Top Mix Monte o Seu Misto	Top Mix	24.97	S
Cobertura Farinha Láctea®  (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Ganache (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Granola (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Leite Moça® (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Leite Ninho® (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Nutella® (Top Mix Monte o Seu)	Adicional	0.01	S
Cobertura Ovomaltine (Top Mix Monte o Seu)	Adicional	0.01	S
Fruta Morango (Top Mix Monte o Seu)	Adicional	0.01	S
Fruta Uva (Top Mix Monte o Seu)	Adicional	0.01	S
Ad 4 Cascões (Delivery)	Adicional	0.00	N
Ad Aç Amendoim Triturado	Adicional	2.50	S
Ad Aç Banana	Adicional	2.50	S
Ad Aç Biscoito Negresco®	Adicional	5.00	S
Ad Aç Bombom Ouro Branco®	Adicional	7.50	S
Ad Aç Canudinho Biju Wafer	Adicional	1.50	S
Ad Aç Chantilly	Adicional	3.50	S
Ad Aç Chocolate granulado	Adicional	3.00	S
Ad Aç Creme Crocante Ovomaltine®	Adicional	7.50	S
Ad Aç Disqueti	Adicional	9.00	S
Ad Aç Doce de Leite	Adicional	3.00	S
Ad Aç Farinha Láctea®	Adicional	3.50	S
Ad Aç Farofa Especial	Adicional	3.50	S
Ad Aç Ganache Chiquinho	Adicional	7.50	S
Ad Aç Granola	Adicional	3.00	S
Ad Aç Leite Condensado	Adicional	0.00	N
Ad Aç Leite Ninho®	Adicional	4.50	S
Ad Aç Marshmallow Torção Fini®	Adicional	6.00	S
Ad Aç Morango	Adicional	7.00	S
Ad Aç NUTELLA®	Adicional	10.00	S
Ad Aç Ovomaltine	Adicional	3.50	S
Ad Aç Polpa Frutas Vermelhas	Adicional	6.00	S
Ad Aç Polpa Maracujá	Adicional	6.00	S
Ad Aç Polpa Morango	Adicional	6.00	S
Ad Aç Sorvete Baunilha	Adicional	4.50	S
Ad Aç Sorvete Chocolate	Adicional	4.50	S
Ad Aç Sorvete Misto	Adicional	4.50	S
Ad Aç Trufada Chiquinho	Adicional	5.00	S
Ad Açaí	Adicional	4.00	S
Ad Amarena	Adicional	0.00	N
Ad Amendoim Triturado	Adicional	1.50	S
Ad Banana	Adicional	2.00	S
Ad Banana (Canecake 2026)	Adicional	0.00	N
Ad BCone Chocolate Trufado	Bubble Waffle	0.00	N
Ad BCone Creme Crocante Ovomaltine®	Bubble Waffle	0.00	N
Ad BCone Doce de Leite	Bubble Waffle	0.00	N
Ad BCone Kitkat®	Bubble Waffle	0.00	N
Ad BCone Leite Condensado	Bubble Waffle	0.00	N
Ad BCone Nutella®	Bubble Waffle	0.00	N
Ad BCone Suflair®	Bubble Waffle	0.00	N
Ad BConeG Amendoim Granulado	Bubble Waffle	0.00	N
Ad BConeG Banana	Bubble Waffle	0.00	N
Ad BConeG Bijú	Bubble Waffle	0.00	N
Ad BConeG Disqueti Mini	Bubble Waffle	0.00	N
Ad BConeG Farofa Especial	Bubble Waffle	0.00	N
Ad BConeG Ganache Chiquinho	Bubble Waffle	0.00	N
Ad BConeG Granulado Chocolate	Bubble Waffle	0.00	N
Ad BConeG Marshmallow Fini®	Bubble Waffle	0.00	N
Ad BConeG Morango	Bubble Waffle	0.00	N
Ad BConeG Ovomaltine em Flocos	Bubble Waffle	0.00	N
Ad BConeG Polpa de Frutas Vermelhas	Bubble Waffle	0.00	N
Ad BConeG Polpa de Morango	Bubble Waffle	0.00	N
Ad BConeP Amendoim Granulado	Bubble Waffle	0.00	N
Ad BConeP Banana	Bubble Waffle	0.00	N
Ad BConeP Biju	Bubble Waffle	0.00	N
Ad BConeP Disqueti Mini	Bubble Waffle	0.00	N
Ad BConeP Farofa Especial	Bubble Waffle	0.00	N
Ad BConeP Ganache Chiquinho	Bubble Waffle	0.00	N
Ad BConeP Granulado Chocolate	Bubble Waffle	0.00	N
Ad BConeP Marshmallow Fini®	Bubble Waffle	0.00	N
Ad BConeP Morango	Bubble Waffle	0.00	N
Ad BConeP Ovomaltine em Flocos	Bubble Waffle	0.00	N
Ad BConeP Polpa de Morango	Bubble Waffle	0.00	N
Ad BConeP Polpa Frutas Vermelhas	Bubble Waffle	0.00	N
Ad Biscoito Maisena	Adicional	0.00	N
Ad Biscoito Negresco®	Adicional	0.00	N
Ad Bolo Petit Gateau	Adicional	0.00	N
Ad Bombom Ouro Branco Mini®	Adicional	0.00	N
Ad Bombom Ouro Branco®	Adicional	0.00	N
Ad Café	Adicional	0.00	N
Ad Calda Fondue (Canecake 2026)	Adicional	0.00	N
Ad Calda Quente Preta	Adicional	2.00	S
Ad Calda Trufada	Adicional	2.00	S
Ad Canudinho Biju Wafer	Adicional	0.00	N
Ad Cappuccino	Adicional	0.00	N
Ad Cascão Baunilha	Adicional	1.00	S
Ad Casquinha Baunilha	Adicional	1.00	S
Ad Chantilly	Adicional	3.50	S
Ad Chocolate em Pó	Adicional	0.00	N
Ad Chocolate Granulado	Adicional	1.50	S
Ad Chocolate Trufado (Canecake 2026)	Adicional	0.00	N
Ad Cobertura Caramelo	Adicional	1.00	S
Ad Cobertura Chocolate	Adicional	1.00	S
Ad Cobertura Morango	Adicional	1.00	S
Ad Creme Coco Malásia	Adicional	0.00	N
Ad Creme Coco Malásia (Canecake 2026)	Adicional	0.00	N
Ad Creme Crocante Ovomaltine®	Adicional	0.00	N
Ad Creme Crocante Ovomaltine® (Canecake 2026)	Adicional	0.00	N
Ad Creme de Amarena (Canecake 2026)	Adicional	0.00	N
Ad Creme de Leite em Pó (Canecake 2026)	Adicional	0.00	N
Ad Creme Pistache (Canecake 2026)	Adicional	0.00	N
Ad Creme Puro Leite	Adicional	0.00	N
Ad Creme Tapioca	Adicional	0.00	N
Ad Disco Casquinha	Adicional	0.00	N
Ad Disqueti	Adicional	0.00	N
Ad Disqueti Mini (Canecake 2026)	Adicional	0.00	N
Ad Doce de Abóbora com Coco	Adicional	0.00	N
Ad Doce de Leite	Adicional	2.00	S
Ad Doce de Leite (Canecake 2026)	Adicional	0.00	N
Ad Farinha Láctea®	Adicional	2.00	S
Ad Farinha Láctea®  (Top Mix Monte o Seu)	Adicional	2.00	S
Ad Farofa Especial	Adicional	2.00	S
Ad Ganache Chiquinho	Adicional	2.00	S
Ad Ganache Chiquinho (Top Mix Monte o Seu)	Adicional	0.00	N
Ad Ganache Fondue	Adicional	0.00	N
Ad Granola	Adicional	2.00	S
Ad Granola (10g)	Adicional	2.00	S
Ad KitKat®	Adicional	0.00	N
Ad KitKat® (Cascão)	Adicional	0.00	N
Ad Leite Condensado	Adicional	0.00	N
Ad Leite Condensado (Top Mix Monte o Seu)	Adicional	0.00	N
Ad Leite Condensado Moça (Canecake 2026)	Adicional	5.00	S
Ad Leite Ninho®	Adicional	3.50	S
Ad Leite Ninho® (Top Mix Monte o Seu)	Adicional	0.00	N
Ad Marshmallow Cremoso - Borda (Canecake 2026)	Adicional	0.00	N
Ad Marshmallow Cremoso - Recheio (Canecake 2026)	Adicional	0.00	N
Ad Marshmallow Torção Fini®	Adicional	0.00	N
Ad Menta	Adicional	1.50	S
Ad Mescla de Frutas Vermelhas	Adicional	0.00	N
Ad Mescla de Maracuja	Adicional	0.00	N
Ad Mescla de Morango	Adicional	0.00	N
Ad Mescla Uva	Adicional	0.00	N
Ad Milho Verde	Adicional	0.00	N
Ad Morango	Adicional	0.00	N
Ad Morango (Canecake 2026)	Adicional	0.00	N
Ad Nutella®	Adicional	6.50	S
Ad Nutella® (Canecake 2026)	Adicional	0.00	N
Ad Nutella® (Top Mix Monte o Seu)	Adicional	0.00	N
Ad Ovomaltine	Adicional	2.00	S
Ad Ovomaltine (Top Mix Monte o Seu)	Adicional	1.50	S
Ad Pacote com 9 ou 10 Cascões (Delivery)	Adicional	0.00	N
Ad Pacote com 9 ou 10 Casquinhas (Delivery)	Adicional	0.00	N
Ad Pasta Kitkat®	Adicional	0.00	N
Ad Petit Gateau Chiquinho - 1 Unidade	Adicional	8.00	S
Ad Petit Gateau Chiquinho - Caixa com 4 unidades	Adicional	0.00	N
Ad Pistache Chiquinho	Adicional	0.00	N
Ad Polpa de Frutas Vermelhas	Adicional	0.00	N
Ad Polpa de Maracuja	Adicional	0.00	N
Ad Polpa de Morango	Adicional	0.00	N
Ad Polpa Natural Maracujá Fruta	Adicional	0.00	N
Ad Sorvete Baunilha - Fondue	Adicional	0.00	N
Ad Sorvete Chocolate - Fondue	Adicional	0.00	N
Ad Sorvete Misto - Fondue	Adicional	0.00	N
Ad Sorvete no Copo 220ml - Baunilha	Adicional	0.00	N
Ad Sorvete no Copo 220ml - Chocolate	Adicional	0.00	N
Ad Sorvete no Copo 220ml - Misto	Adicional	0.00	N
Ad Stracciatella Branca	Adicional	2.00	S
Ad Suco de Limão	Adicional	1.50	S
Ad Suflair®	Adicional	0.00	N
Ad Suflair® (5g)	Adicional	0.00	N
Ad Suflair® Duo	Adicional	0.00	N
Ad Suspiro (Canecake 2026)	Adicional	0.00	N
Ad Uva	Adicional	0.00	N
Ad Whey Protein	Adicional	10.00	S
Colher Biodegradável Grande (Delivery)	Adicional	0.00	N
Fruta Banana (Top Mix Monte o Seu)	Adicional	0.01	S
